m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,kpi_id,uniqueid,yr
60000.0,64000.0,72000.0,49000.0,58000.0,59000.0,53000.0,61000.0,67000.0,0.0,0.0,0.0,66,202466,2024
298017.56,315565.03,353606.31,264701.09,299462.69,305355.09,282390.66,305799.91,333174.31,0.0,0.0,0.0,67,202467,2024
