uniqueid,yr,kpi_id,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
202477,2024,77,2,1,2,1,0,1,2,3,0,1,0,0
202478,2024,78,5,3,5,3,3,6,9,9,6,2,0,0
