m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,kpi_id,uniqueid,yr
279.0,323.0,269.0,249.0,209.0,244.0,231.0,238.0,313.0,0.0,0.0,0.0,72,202472,2024
4713.61,5465.0,4542.83,4201.29,3518.2,4115.9,3893.9,4013.44,5294.23,0.0,0.0,0.0,73,202473,2024
