uniqueid,yr,kpi_id,ลำดับ,กิจกรรม,เปิดปีที่แล้ว,ปิดของปีที่แล้ว,เปิดปีนี้,ปิดปีนี้,เปิดอยู่,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,ยังไม่ตอบสาเหตุ,ปิดปีนี้
202477,2024,77,101.0,Customer feedback,30,30,12,,6,2,1,2,1,0,1,2,3,0,0,0,0,0,
202478,2024,78,102.0,Customer Request,44,44,50,,2,5,3,5,3,3,6,9,9,6,1,0,0,2,
