uniqueid,yr,kpi_id,genre,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
2024501,2024,501,จำนวนรายการ,752,807,966,729,938,580,691,812,596,,,
202450,2024,50,จำนวนชิ้นงาน,"1,803,329","1,595,351","1,817,621","1,510,300","1,751,908","1,361,428","1,626,827","1,933,390","1,473,109",,,
